id,name,name_cn,birth_year,death_year,nationality,label
61,chen jinhou,陈金厚,,,,artist
62,kenkō shōkei 賢江祥啓,kenkōshōkei贤江祥启,,,,artist
63,zhang family workshop,张家作坊,,,,artist
64,sō shizan,佐世山,,,,artist
65,kokan shiren,高干郡,,,,artist
66,ruan yuan,阮元,,,,artist
67,tang yin,唐寅,,,,artist
68,wang jian,王健,,,,artist
69,qiu ying,仇英,,,,artist
70,zhang lu,张鲁,,,,artist
71,zheng zhong,郑众,,,,artist
72,renpō,伦波,,,,artist
73,tesshū tokusai,德寿,,,,artist
74,kano sansetsu,kano sansetsu,,,,artist
75,kano tansui moritsune,kano 舞蹈,,,,artist
76,ogata kenzan,奥加塔·肯赞,,,,artist
77,kano chikanobu,kano chikanobu,,,,artist
78,shinno noami,新野,,,,artist
79,kitagawa utamaro 喜多川歌麿,kitagawa utamaro 喜多川歌麿,,,,artist
80,ogata kōrin,冈田浩林,,,,artist
81,takaku aigai,背部 家庭,,,,artist
82,tsubaki kakoku,Tsubaki Kakuku 卡库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库库,,,,artist
83,kasuga motomitsu,kasuga motomitsu,,,,artist
84,kita genki,基塔·根基,,,,artist
85,noro kaiseki,诺罗怀石料理,,,,artist
86,tani bunchō,谷群雄,,,,artist
87,okada beisanjin,冈田北三金,,,,artist
88,shibata zeshin,日神,,,,artist
89,kajikawa school,kajikawa学校,,,,artist
90,yamada jōkasai (1681–1704),山田昭昭（1681–1704）,,,,artist
91,hasensai senjin,哈森森金,,,,artist
92,sōkan,沙漠,,,,artist
93,kano school,狩野派,,,,artist
94,lü jingfu,吕景福,,,,artist
95,zhou wenjing,周文静,,,,artist
96,kano motonobu,kano motonobu,,,,artist
97,kano tan'yū,kano tan'yū,,,,artist
98,kano tsunenobu,菅野津奈布,,,,artist
99,wang ao,王鏊,,,,artist
100,katsukawa shunshō　勝川春章,katsukawa shunshō胜川春章,,,,artist
101,chen chun,陈淳,,,,artist
102,katsushika hokusai,葛饰北斋,,,,artist
103,lu zhi,路知,,,,artist
104,kinkozan,已暂停,,,,artist
105,eiraku hozen,冷空气,,,,artist
106,qian gu,钱谷,,,,artist
107,wang shanggong,王尚功,,,,artist
108,sakaki hyakusen,阪崎学园,,,,artist
109,ike no taiga,没有泰加林,,,,artist
110,okada hankō,冈田汉康,,,,artist
111,rai san’yō 頼山陽,rai san’yō賴山阳,,,,artist
112,tsubaki chinzan,津 木 中国,,,,artist
113,nakabayashi chikutō,中林彻,,,,artist
114,mochizuki gyokusen 望月玉川,mochizuki gyokusen 望月玉川,,,,artist
115,dapeng zhengkun (taihō shōkon),zhengkun 厨房（taihō shokon）,,,,artist
116,saien hōsai (xiyua fangqi),saien hōsai（xiyua fangqi）,,,,artist
117,sō shiseki,松石,,,,artist
118,miwa zaiei,米瓦·扎伊,,,,artist
119,bian wenyu,bian 你,,,,artist
120,wu li,物理,,,,artist
121,yun shouping,恽寿平,,,,artist
122,yun bing,云兵,,,,artist
123,shitao (zhu ruoji),石涛（朱若吉）,,,,artist
124,yuan jiang,袁江,,,,artist
125,gao fenghan,高凤涵,,,,artist
126,luo ping,罗平,,,,artist
127,wu xizai,吴锡载,,,,artist
128,xugu (zhu huairen),红色（朱仁）,,,,artist
129,sha fu,沙福,,,,artist
130,jin lan,金兰,,,,artist
131,pan feisheng,潘飞生,,,,artist
132,yang tianbi,天比,,,,artist
133,lianfang songfou,Lianfang Songfou,,,,artist
134,wen liang,文亮,,,,artist
135,yi zhai,易斋,,,,artist
136,lu han,鹿晗,,,,artist
137,zhao yong,赵勇,,,,artist
138,sun rong,孙蓉,,,,artist
139,bi chang,毕畅,,,,artist
140,jiang yun,蒋韵,,,,artist
141,empress dowager cixi,慈禧太后,,,,artist
142,shen qi,沈琪,,,,artist
143,meizhi,美汁,,,,artist
144,zhang ruitu,张 鲁图,,,,artist
145,fujiwara no yukinari (kōzei),藤原野由纪成（kōzei）,,,,artist
146,sesson shūkei,徐凯,,,,artist
147,maruyama ōkyo,丸山,,,,artist
148,genki (komai ki),基因 （什么）,,,,artist
149,itō jakuchū,伊托亚库丘,,,,artist
150,soga shōhaku,佐贺,,,,artist
151,unchō,unchō,,,,artist
152,urakami (uragami) gyokudō 浦上玉堂,urakami (uragami) gyokudō 浦上玉堂,,,,artist
153,aoki mokubei,青木木井,,,,artist
154,ryūryūkyo shinsai,琉球新赛,,,,artist
155,zhao zhiqian,赵之谦,,,,artist
156,yashima gakutei,鹿岛学园,,,,artist
157,utagawa kuniyoshi,歌川国芳,,,,artist
158,sesshū tōyō 雪舟等楊,sesshūtōyō雪舟等杨,,,,artist
159,kano sanraku 狩野山楽,kano sanraku 狩野山楽,,,,artist
160,kubo shunman,久保顺曼,,,,artist
161,utagawa (gountei) sadahide,犹他州（冈蒂）萨达希德,,,,artist
162,isoda koryūsai,碘壳,,,,artist
163,utagawa yoshiiku,犹他州yoshiiku,,,,artist
164,utagawa yoshitora,犹他州yoshitora,,,,artist
165,utagawa kunisada 歌川国貞,utagawa kunisada 歌川国貞,,,,artist
166,utagawa kunisada,或 kunisada,,,,artist
167,suzuki harunobu,铃木,,,,artist
168,utagawa hiroshige,歌川广重,,,,artist
169,prince lu,鲁王子,,,,artist
170,ishikawa toyonobu,石川丰野武,,,,artist
171,torii kiyohiro,鸟井清弘,,,,artist
172,rai san’yō,赖三洋,,,,artist
173,katsushika hokusai 葛飾北斎,katsushika hokusai葛饰北斋,,,,artist
174,gyokuzan,九州,,,,artist
175,tachibana morikuni 橘守国,tachibana morikuni 橘守国,,,,artist
176,ooka shunboku,秋香,,,,artist
177,mochizuki hanzan,山山茂之,,,,artist
178,tamakaji zōkoku,玉和子,,,,artist
179,yamada jōkasai,山田昭昭,,,,artist
180,nomura chōkei (dates unknown),野村长庆（日期不详）,,,,artist
181,kanō jukkyoku,kano jukkyoku,,,,artist
182,kajikawa bunryūsai,kajikawa bunryūsai,,,,artist
183,fangshi mopu,方石墨浦,,,,artist
184,myōe kōben 明恵高弁,myōe kōben 明恵高弁,,,,artist
185,musō soseki,muso 社会,,,,artist
186,mei qing,梅清,,,,artist
187,li fangying,李方膺,,,,artist
188,lin yuncai,林云才,,,,artist
189,zenshiro,曾世郎,,,,artist
190,gempin,金平,,,,artist
191,dao cheng,道成,,,,artist
192,yan zhenqing,颜真卿,,,,artist
193,yuan yao,袁耀,,,,artist
194,tong yu,童玉,,,,artist
195,katō nobukiyo,加藤,,,,artist
196,utagawa hiroshige ii,犹他州广岛ii,,,,artist
197,utagawa yoshikazu,犹他州yoshikazu,,,,artist
198,kobayashi kiyochika,小林清泉,,,,artist
199,gao jian,高见,,,,artist
200,kano einō,独木舟,,,,artist
201,kaihō yūsetsu,凯胡塞特,,,,artist
202,shunkōsai hokushū 春好斎北洲,shunkōsai hokushū 春好斎北洲,,,,artist
203,zheng min,郑敏,,,,artist
204,yinyuan longqi (ingen ryūki),尹元龙启,,,,artist
205,zhan jingfeng,詹景峰,,,,artist
206,yosa buson,约萨 布森,,,,artist
207,mu'an xingtao (mokuan shōtō),穆安星涛,,,,artist
208,kameda bōsai,kameda bōsai,,,,artist
209,kawamura bunpō,川村本蒲,,,,artist
210,wang gai 王槩,wang gai 王槩,,,,artist
211,kitao masanobu (santō kyōden) 北尾政演 (山東京伝),kitao masanobu（santōkyōden）北尾政演（山东京伝）,,,,artist
212,ooka shunboku 大岡春卜,ooka shunboku大冈春卜,,,,artist
213,nakagawa tenju,来吧，藤菊！,,,,artist
214,hing sheng boot and shoe maker,兴盛鞋业,,,,artist
215,maison pingat,佩加特 房子,,,,artist
216,de witte starre manufactory,德维特斯塔尔制造厂,,,,artist
217,meissen manufactory,迈森制造厂,,,,artist
218,jean marie tiron (called tiron de nanteuil),让-玛丽·蒂伦（原名蒂伦·德南泰尔）,,,,artist
219,joseph etienne blerzy,约瑟夫·艾蒂安·布勒齐,,,,artist
220,jean henri riesener,让-亨利·里森纳,,,,artist
221,william caldecott,威廉·卡德科特,,,,artist
222,isaac dighton,艾萨克·迪顿,,,,artist
223,james giles,詹姆斯·吉尔斯,,,,artist
224,thomas heming,托马斯·海明威,,,,artist
225,villeroy,维勒罗伊,,,,artist
226,sèvres manufactory,塞夫尔制造厂,,,,artist
227,höchst manufactory,赫斯特制造厂,,,,artist
228,derby porcelain manufactory,德比瓷器制造厂,,,,artist
229,gilles joubert,吉勒·朱伯特,,,,artist
230,james cox,詹姆斯·考克斯,,,,artist
231,johann friedrich eberlein,约翰·弗里德里希·埃伯林,,,,artist
232,minton(s),明顿,,,,artist
233,vienna,维也纳,,,,artist
234,christopher dresser,克里斯托弗·德莱赛,,,,artist
235,william wyon,威廉·韦恩,,,,artist
236,bromley hall printworks,布罗姆利大厅版画厂,,,,artist
237,martin gizl,马丁 秘密,,,,artist
238,r. w. martin and brothers,r.w.马丁和兄弟,,,,artist
239,doulton manufactory,道尔顿制造厂,,,,artist
240,william thomas saunders,威廉·托马斯·桑德斯,,,,artist
241,gustave le gray,古斯塔夫·勒·格雷,,,,artist
242,lai afong,莱阿丰,,,,artist
243,pun-lun,潘伦,,,,artist
244,hill and adamson,希尔和阿达姆森,,,,artist
245,john thomson,约翰·汤姆森,,,,artist
246,felice beato,快乐 幸福,,,,artist
247,suzuki shin'ichi,铃木信一,,,,artist
248,raimund von stillfried,雷蒙德·冯·斯蒂尔弗里德,,,,artist
249,carleton e. watkins,卡尔顿·e·沃特金斯,,,,artist
250,emile gsell,艾米丽·格塞尔,,,,artist
251,andre-victor-alcide-jules itier,安德烈·维克托·阿尔西德·朱尔斯·伊蒂尔,,,,artist
252,giovanni battista altadonna,乔瓦尼·巴蒂斯塔·阿尔塔唐纳,,,,artist
253,roger fenton,罗杰·芬顿,,,,artist
254,tung hing,童兴,,,,artist
255,milton m. miller,米尔顿·米勒,,,,artist
256,félix teynard,费利克斯·泰纳,,,,artist
257,metropolitan painter,都市画家,,,,artist
258,henri de toulouse-lautrec,亨利·德·图卢兹·劳特雷克,,,,artist
259,p. decker,p.decker,,,,artist
260,edouard manet,马奈,,,,artist
261,paul gauguin,高更,,,,artist
262,peter paul rubens,彼得·保罗·鲁本斯,,,,artist
263,andrea del sarto (andrea d'agnolo),安德烈·德尔·萨尔托（Andrea d'agnolo）,,,,artist
264,"anonymous, french, 17th century",匿名，法语，17世纪,,,,artist
265,william alexander,威廉·亚历山大,,,,artist
266,joseph mallord william turner,透纳,,,,artist
267,giovanni mauro della rovere,青年毛利人橡树,,,,artist
268,"anonymous, italian, venetian, 15th to 16th century",匿名，意大利，威尼斯，15至16世纪,,,,artist
269,heinrich joseph schütz,海因里希·约瑟夫·舒茨,,,,artist
270,"anonymous, french, 18th century",匿名，法语，18世纪,,,,artist
271,françois boucher,弗朗索瓦·布歇,,,,artist
272,thomas chippendale,托马斯·齐本德尔,,,,artist
273,matthias darly,马蒂亚斯·达利,,,,artist
274,gabriel huquier,加布里埃尔·胡奎尔,,,,artist
275,jean antoine fraisse,Jean-Antoine Fraisse,,,,artist
276,william halfpenny,威廉·哈夫彭尼,,,,artist
277,duval,杜瓦尔,,,,artist
278,sir john everett millais,约翰·埃弗雷特·米莱爵士,,,,artist
279,"anonymous, french, 19th century",匿名，法语，19世纪,,,,artist
280,jean pillement,Jean Pillement,,,,artist
281,camille pissarro,卡米尔·皮萨罗,,,,artist
282,edgar degas,德加,,,,artist
283,eugène cicéri,尤金 西塞里,,,,artist
284,charles nicolas cochin i,查尔斯·尼古拉斯·科钦一世,,,,artist
285,jean-baptiste marie pierre,让·巴蒂斯特·玛丽·皮埃尔,,,,artist
286,william marlow,威廉·马洛,,,,artist
287,"anonymous, british, 19th century",匿名，英国，19世纪,,,,artist
288,isaac robert cruikshank,艾萨克·罗伯特·克鲁克香克,,,,artist
289,john ingram,约翰·英格拉姆,,,,artist
290,william dyce,威廉·迪斯,,,,artist
291,odilon redon,奥德隆重做,,,,artist
292,charles meryon,查尔斯·默里恩,,,,artist
293,james mcneill whistler,詹姆斯·麦克尼尔·惠斯勒,,,,artist
294,max klinger,克林格尔,,,,artist
295,brewster & co.,布鲁斯特公司。,,,,artist
296,nathaniel currier,纳撒尼尔·柯里尔,,,,artist
297,julius bien,朱利叶斯·布恩,,,,artist
298,victor hugo,维克多·雨果,,,,artist
299,jules-edmond-charles lachaise,jules edmond charles lachaise,,,,artist
300,madame la marquise de pompadour,蓬巴杜侯爵夫人,,,,artist
301,"anonymous, chinese, canton, 19th century",匿名，中国人，广州，19世纪,,,,artist
302,"anonymous, chinese, 19th century",匿名，中国人，19世纪,,,,artist
303,anton hallmann,安东·霍尔曼,,,,artist
304,jean-baptiste perronneau,Jean-Baptiste Perronneau,,,,artist
305,jacques philippe le bas,雅克·菲利普·勒巴斯,,,,artist
306,pierre philippe choffard,皮埃尔·菲利普·霍福德,,,,artist
307,louis joseph masquelier,路易斯·约瑟夫·马斯奎尔,,,,artist
308,giovanni battista falda,乔瓦尼·巴蒂斯塔·法尔达,,,,artist
309,goodwin & company,古德温公司,,,,artist
310,william hogarth,威廉贺加斯,,,,artist
311,giovanni ambrogio brambilla,乔瓦尼·安布罗吉奥·布兰比拉,,,,artist
312,allen & ginter,艾伦&金特,,,,artist
313,william henry hunt,威廉·亨利·亨特,,,,artist
314,"w. duke, sons & co.",w.杜克父子公司。,,,,artist
315,american tobacco company,美国烟草公司,,,,artist
316,jean charles delafosse,让-查尔斯·德拉福斯,,,,artist
317,jules bastien-lepage,圣诞 Bastien-lepage,,,,artist
